.-.----.... (a's)
.....-...--..-.---. (brunetje)
.....-...--..-.---.... (brunetjes)
.....-...--..--.-. (brunetten)
.....-...-...-.- (brusk)
.....-...--.-.-.-.. (brutaal)
.....-...--.-.-.-.....- (brutaalst)
.....-...--.-.-....-. (brutaler)
.....-...--.-.-..........-.-... (brutaliseerde)
.....-...--.-.-..........-..-. (brutaliseeren)
.....-...--.-.-....-...- (brutaliteit)
.....-...--.-.-....-...-.-. (brutaliteiten)
.....-...----- (bruto)
.....-...------....---...--..-.-.....- (bruto-gewicht)
.....-...------....---...--..-.-.....-.-. (bruto-gewichten)
.....-...------....-.--..-....- (bruto-winst)
.....-...------....-.--..-....-.-. (bruto-winsten)
......--..--..- (budget)
......--..--..-.-..-.-.....- (budgetrecht)
......--..--..-... (budgets)
......--..--..--.-. (budgetten)
......-..-...-...-.. (buffel)
......-..-...-...-...--.-.....-..--. (buffelachtig)
......-..-...-...-...--.-.....-..--...-. (buffelachtiger)
......-..-...-...-...--.-.....-..--......-...-. (buffelachtigheden)
......-..-...-...-...--.-.....-..--........-.. (buffelachtigheid)
......-..-...-...-...--.-.....-..--....- (buffelachtigst)
......-..-...-...-........-..-.. (buffelhuid)
......-..-...-...-...---.--.-.....- (buffeljacht)
......-..-...-...-...---.--.-.....-.-. (buffeljachten)
......-..-...-...-...-.....-. (buffelleer)
......-..-...-...-..... (buffels)
......-..-...-...-..-.---. (buffeltje)
......-..-...-...-..-.---.... (buffeltjes)
......-..-...-...-.....-..-.. (buffelvel)
......-..-...-...-.....-..-...-...-. (buffelvellen)
......-..-...-...-. (buffer)
......-..-...-...-.... (buffers)
......-..-...-...-....-.-.-- (bufferstaat)
......-..-...-...-....-.--.-. (bufferstaten)
......-..-...-..- (buffet)
......-..-...-..-.---.... (buffetjes)
......-..-...-..-.---..-..-...-..-.---..-.-- (buffetjuffrouw)
......-..-...-..-.---..-..-...-..-.---..-.--.-. (buffetjuffrouwen)
......-..-...-..---.-.--...-.-......-.--..--....--- (buffetmaatschappij)
......-..-...-..--.-. (buffetten)
......-..-... (buide)
......-..-....-..-......-..-. (buideldieren)
......-..-....-..-.---.... (buideltjes)
......-...-. (buien)
......-..--......-.-.-. (buigbaar)
......-..--......-.-.-.-....-. (buigbaarder)
......-..--......-.-.-........-.. (buigbaarheid)
......-..--......-.-.-....- (buigbaarst)
......-..--..-. (buigen)
......-..--....-----....-. (buigijzer)
......-..--....-----....-.... (buigijzers)
......-..--...-.--. (buiging)
......-..--...-.--..-. (buigingen)
......-..--...-.-.-.---. (buiginkje)
......-..--...-.-.-.---.... (buiginkjes)
......-..--..--...--.- (buigpunt)
......-..--..--...--.-.-. (buigpunten)
......-..--.....--.....-. (buigspier)
......-..--.....--.....-..-. (buigspieren)
......-..--.-.--.--. (buigtang)
......-..--.-.--.--..-. (buigtangen)
......-..--.--...-.--- (buigzaam)
......-..--.--...-.---.......-.. (buigzaamheid)
......-..--.--...-.---...- (buigzaamst)
......-..--.--...---..-. (buigzamer)
......-....--. (buiig)
......-....--...-. (buiiger)
......-....--........-.. (buiigheid)
......-....--....- (buiigst)
......-..-.-.-. (buiken)
......-..-.-....---.-..-. (buikholte)
......-..-.-..--. (buikig)
......-..-.-..--...-. (buikiger)
......-..-.-..--....- (buikigst)
......-..-.-.---. (buikje)
......-..-.-.---.... (buikjes)
......-..-.-.-..------.--. (buikloop)
......-..-.-.--....----. (buikpijn)
......-..-.-.--....----..-. (buikpijnen)
......-..-.-.-....-- (buikriem)
......-..-.-.-....--.-. (buikriemen)
......-..-.-....--..-..-.-.-. (buikspreken)
......-..-.-....--..-..-.-..-. (buikspreker)
......-..-.-....--..-..-.-..-.... (buiksprekers)
......-..-.-...-.-........----.-...-.-.-..-.--. (buikvliesontsteking)
......-..-.-...-.-........----.-...-.-.-..-.--..-. (buikvliesontstekingen)
......-..-.---.....-.- (buikziek)
......-..-.---.....-.--. (buikziekte)
......-..-.---.....-.--.-. (buikziekten)
......-...-.. (buil)
......-...-..-..---.-.- (buildoek)
......-...-..-.-.....-.-. (builkisten)
......-...-..-.---. (builtje)
......-...-..-.---.... (builtjes)
......-...-..--..---.-..-....-. (builzolder)
......-...-..--..---.-..-....-.... (builzolders)
......-......---. (buisje)
......-......---.... (buisjes)
......-......---....-...---. (buisjesdag)
......-......--.--..-. (buiswater)
......-..- (buit)
......-..-..-...-.-.-. (buitelaar)
......-..-..-...-.-.-.... (buitelaars)
......-..-..-..-... (buitelde)
......-..-..-...-. (buitelen)
......-..-..-....-.--. (buiteling)
......-..-..-....-.--..-. (buitelingen)
......-..-.-......--.-.. (buitenband)
......-..-.-......--.-...-. (buitenbanden)
......-..-.-.......-.-.---. (buitenbeentje)
......-..-.-.......-.-.---.... (buitenbeentjes)
......-..-.-.-.....-.-. (buitendeur)
......-..-.-.-.....----.-... (buitendijks)
......-..-.-.-...-....---...-.-. (buitendrijven)
......-..-.-.--..-.--... (buitengaats)
......-..-.-.--..-...-.....-.-. (buitengedreven)
......-..-.-.--..--..-. (buitengemeen)
......-..-.-.--..--..-...-. (buitengemeener)
......-..-.-.--..--..-....- (buitengemeenst)
......-..-.-.--..--..-.-. (buitengemeente)
......-..-.-.--..--..-.-.-. (buitengemeenten)
......-..-.-.--......-..----.-. (buitengesloten)
......-..-.-.--.....-.-.--. (buitengestaan)
......-..-.-.--...------...-. (buitengewoner)
......-..-.-.--...---------. (buitengewoon)
......-..-.-.--...---------....- (buitengewoonst)
......-..-.-.--...-----.-..--..-. (buitengeworpen)
......-..-.-.....---..-. (buitenhof)
......-..-.-...........--. (buitenissig)
......-..-.-.-.-.--.....---. (buitenkansje)
......-..-.-.-.-.--.....---.... (buitenkansjes)
......-..-.-..-...--.-.. (buitenland)
......-..-.-..-...--.-...-. (buitenlanden)
......-..-.-..-...--.-....-. (buitenlander)
......-..-.-..-...--.-....-.... (buitenlanders)
......-..-.-..-...--.-.....-.-..... (buitenlandsch)
......-..-.-.-----.-....-. (buitenmoeder)
......-..-.-.-----.-....-.... (buitenmoeders)
......-..-.-..--..-...-.--... (buitenplaats)
......-..-.-..--..-...-.--....-. (buitenplaatsen)
......-..-.-..--.---...- (buitenpost)
......-..-.-..--.---...-.-. (buitenposten)
......-..-.-....-.....----.-... (buitensdijks)
......-..-.-..........-..... (buitenshuis)
......-..-.-.....-...--.-..... (buitenslands)
......-..-.-.....--.---.-...--. (buitensporig)
......-..-.-.....--.---.-...--...-. (buitensporiger)
......-..-.-.....--.---.-...--......-...-. (buitensporigheden)
......-..-.-.....--.---.-...--........-.. (buitensporigheid)
......-..-.-.....--.---.-...--....- (buitensporigst)
......-..-.-....-. (buitenste)
......-..-.-....-...----..... (buitenstijds)
......-..-.-.-...----..... (buitentijds)
......-..-.-.-.---.... (buitentjes)
......-..-.-....-.--....-. (buitenvader)
......-..-.-....-.--....-.... (buitenvaders)
......-..-.-..--.-.-.-.-... (buitenwaarts)
......-..-.-..--.--.-.....- (buitenwacht)
......-..-.-..--.--.-.....-.-. (buitenwachten)
......-..-.-..--..-.-.-... (buitenwerks)
......-..-.-..--..-..--..-. (buitenwerpen)
......-..---..--.-.--.-- (buitgemaakt)
......-..-.---.... (buitjes)
......-..---.--.-.-. (buitmaken)
......-..--. (buitte)
......-..--...-. (buizen)
......-..--....-.-.. (buizerd)
......-..--....-.-..... (buizerds)
......--.--.-.-. (bukken)
......--.-... (buks)
......--.-....-. (buksen)
......--.-....---. (buksje)
......--.-....---.... (buksjes)
......--.--. (bukte)
......-.-.. (bul)
......-.-..-....-......-...- (bulderbast)
......-.-..-....-...--. (bulderig)
......-.-..-....-...--...-. (bulderiger)
......-.-..-....-...--....- (bulderigst)
......-.-......----.-.. (bulhond)
......-.-......----.-...-. (bulhonden)
......-.-......----.-...---. (bulhondje)
......-.-......----.-...---.... (bulhondjes)
......-.-...-........--.- (bullebak)
......-.-...-........--.--.-.-. (bullebakken)
......-.-...-...--...-..-.. (bullegeld)
......-.-...-...--.--. (bulleman)
......-.-...-...-. (bullen)
......-.-...-...-........----..-. (bullenbijter)
......-.-...-...-........----..-.... (bullenbijters)
......-.-...-....--...... (bullepees)
......-.-...-....--..--...-. (bullepezen)
......-.-...-...-.---.... (bulletjes)
......-.-.....-..-. (bulster)
......-.-.....-..-.... (bulsters)
......-.-..-.--.-.....-..--. (bultachtig)
......-.-..-.-. (bulten)
......-.-..-..--. (bultig)
......-.-..-..--...-. (bultiger)
......-.-..-..--....- (bultigst)
......-.-..-.---. (bultje)
......-.-..-.---.... (bultjes)
......-.-..---...--.- (bultzak)
......-.-..---...--.--.-.-. (bultzakken)
......--. (bun)
......--.-....-.. (bundel)
......--.-....-..... (bundels)
......--.-....-..-.---. (bundeltje)
......--.-....-..-.---.... (bundeltjes)
......--.-....-. (bunder)
......--.-....-.......--.-....-....--...-.....----.- (bunderbundersgelijk)
......--.-....-.--...-..-.. (bundergeld)
......--.-....-.--...-..-...-. (bundergelden)
......--.-....-.... (bunders)
......--.--...-..-... (bungelde)
......--.--...-...-. (bungelen)
......--.-..-. (bunnen)
......--.-..-.---. (bunnetje)
......--.-..-.---.... (bunnetjes)
......--.--....-.--. (bunzing)
......--.--....-.--..-. (bunzingen)
......--.--....-.--.... (bunzings)
......--.--....-.-.-.---. (bunzinkje)
......--.--....-.-.-.---.... (bunzinkjes)
......-.-.-.-.....-.-. (burchten)
......-.-.-.-.....-.......-. (burchtheer)
......-.-.-.-.....-.--..-.....-. (burchtplein)
......-.-.-.-.....-.--..-.....-..-. (burchtpleinen)
......-.-...-..- (bureau)
......-.-...-..-.----.... (bureau's)
......-.-...-..--.----...-.-. (bureaukosten)
......-.-...-..-.-...---.--. (bureaulamp)
......-.-...-..-.-...---.--..-. (bureaulampen)
......-.-...-..-.-.......- (bureaulist)
......-.-...-..-.-.......-. (bureauliste)
......-.-...-..-...----..-.. (bureaustoel)
......-.-...-..-...----..-...-. (bureaustoelen)
......-.-....-...-. (bureelen)
......-.-....-.......- (bureelist)
......-.-....-..-.---.... (bureeltjes)
......-.-..-.--...-...--.-.....- (burengerucht)
......-.-.--. (burg)
......-.-.--..--.....-..-. (burgemeester)
......-.-.--..--.....-..-..-.....----.- (burgemeesterlijk)
......-.-.--..--.....-..-.... (burgemeesters)
......-.-.--..--.....-..-.....---....- (burgemeestersambt)
......-.-.--..--.....-..-..........-..-.- (burgemeestersbuik)
......-.-.--..--.....-..-..........-..-.-.-. (burgemeestersbuiken)
......-.-.--..--.....-..-....-.-......-.--. (burgemeesterschap)
......-.-.--..--.....-..-....-.-.---..-. (burgemeesterskamer)
......-.-.--..--.....-..-.....--..-...-.--... (burgemeestersplaats)
......-.-.--..--.....-..-.....--..-...-.--....-. (burgemeestersplaatsen)
......-.-.--..-. (burgen)
......-.-.--...-. (burger)
......-.-.--...-.........-.-.--. (burgerbestaan)
......-.-.--...-..... (burgeres)
......-.-.--...-.........-. (burgeressen)
......-.-.--...-....--- (burgerij)
......-.-.--...-....---.-. (burgerijen)
......-.-.--...-..-------.--..-. (burgerjongen)
......-.-.--...-..-------.--..-.... (burgerjongens)
......-.-.--...-.-.-..-.-.. (burgerkind)
......-.-.--...-.-.-..-.-....-..-. (burgerkinderen)
......-.-.--...-.-.-.-...-....... (burgerklasse)
......-.-.--...-.-.-.-....-....-.--. (burgerkleeding)
......-.-.--...-..-.....-..-.-.-. (burgerleeraar)
......-.-.--...-..-.....-..-.-..-. (burgerleeraren)
......-.-.--...-..-.....-...-. (burgerlieden)
......-.-.--...-..-.....----.- (burgerlijk)
......-.-.--...-..-.....----.-..-. (burgerlijker)
......-.-.--...-..-.....----.-.......-.. (burgerlijkheid)
......-.-.--...-..-.....----.-...- (burgerlijkst)
......-.-.--...-..-....-.. (burgerlui)
......-.-.--...-.--.--. (burgerman)
......-.-.--...-.--.--..--.-.....-..--. (burgermanachtig)
......-.-.--...-.------.-..-..-----. (burgeroorlog)
......-.-.--...-.------.-..-..-----..-. (burgeroorlogen)
......-.-.--...-..--..-....-.-.....- (burgerplicht)
......-.-.--...-..--..-....-.-.....-.-. (burgerplichten)
......-.-.--...-..-..-.-.....- (burgerrecht)
......-.-.--...-..-..-.-.....-.-. (burgerrechten)
......-.-.--...-.... (burgers)
......-.-.--...-....-.-......-.--. (burgerschap)
......-.-.--...-....-.-......-.--.....-..-.-.....- (burgerschapsrecht)
......-.-.--...-....-.-......-.--.....-..-.-.....-.-. (burgerschapsrechten)
......-.-.--...-....-.-.....---.-...-. (burgerscholen)
......-.-.--...-....-.-.....------.-.. (burgerschool)
......-.-.--...-....-.--.-.. (burgerstand)
......-.-.--...-.-.---. (burgertje)
......-.-.--...-.-.---.... (burgertjes)
......-.-.--...-....-.--....-. (burgervader)
......-.-.--...-....-.--....-.... (burgervaders)
......-.-.--...-....-.-.---..-.-- (burgervrouw)
......-.-.--...-....-.-.---..-.--.-. (burgervrouwen)
......-.-.--.--..-..-.-..-. (burggraaf)
......-.-.--.--..-..-...-.-. (burggraven)
......-.-.--..---. (burgje)
......-.-.--..---.... (burgjes)
......-.-.--..--.-.-.. (burgwal)
......-.-.--..--.-.-...-...-. (burgwallen)
......-.-..-...-. (burlen)
......-...-..----.--..-. (busdokter)
......-...-..----.--..-.... (busdokters)
......-....---. (busje)
......-....---.... (busjes)
......-...-.-.-...-..- (buskruit)
......-...-.-.-...-..-..-..-.....-....-.-.-. (buskruitfabrieken)
......-....-....-.-.....-..-.--. (buslichting)
......-....-....-.-.....-..-.--..-. (buslichtingen)
......-....--..-..--.--...----.- (buspraktijk)
......-........-..... (bussels)
......-........-..-.---. (busseltje)
......-........-..-.---.... (busseltjes)
......-...-. (buste)
......-...-.... (bustes)
......-- (but)
......---.-. (butten)
......-..-.-.-... (buurde)
......-..-.-..-.....-...-. (buurlieden)
......-..-.-.--.--....--..-.- (buurmansgek)
......-..-.-....-.-......-.--. (buurschap)
......-..-.-.- (buurt)
......-..-.-.-.---.... (buurtjes)
......-..-.-.---.....-..-. (buurtmeester)
......-..-.-.---.....-..-.... (buurtmeesters)
......-..-.-.-...-.-......-.--..--..-. (buurtschappen)
......-..-.-.-....--.------.-..--.--. (buurtspoorweg)
......-..-.-.-....--.------.-..--.--..-. (buurtspoorwegen)
......-..-.-....-.-....---..-. (buurvrijer)
......-..-.-....-.-....---..-.... (buurvrijers)
......-..-.-....-.-.---..-.-- (buurvrouw)
......-..-.-....-.-.---..-.--.-. (buurvrouwen)
-.-..----.... (c's)
-.-..-.....-.-.-.. (cabaal)
-.-..-.....-.-...-. (cabalen)
-.-..-.....-..-.-...-....-. (cabretleder)
-.-..-.....-..-.-.....-..-. (cabretleeren)
-.-..-.....-...---.-...- (cabriolet)
-.-..-.....-...---.-...--.-. (cabrioletten)
-.-..--.-..---- (cacao)
-.-..--.-..----....----..-. (cacaoboter)
-.-..--.-......-....--..--.. (cache-nez)
-.-..--.-......-....--..--...----.... (cache-nez's)
-.-..--.-.......-..---- (cachelot)
-.-..--.-.......-..-----.-. (cachelotten)
-.-..--.-......- (cachet)
-.-..--.-......-.---. (cachetje)
-.-..--.-......-.---.... (cachetjes)
-.-..--.-......--.-. (cachetten)
-.-..--.-.....---- (cachot)
-.-..--.-.....-----.-. (cachotten)
-.-..--.-.....---..- (cachou)
-.-..--.-.-----..-..-.--........ (cacographie)
-.-..--.-.-----..-..-.--........-. (cacographieãn)
-.-..--.-.-..-... (cactus)
-.-..--.-.-..-.......-. (cactussen)
-.-..--...--.-.-....-.-... (cadanceerde)
-.-..--...--.-.-....-..-. (cadanceeren)
-.-..--...--.... (cadans)
-.-..--...-...-..-. (cadaver)
-.-..--...-...-..-.... (cadavers)
-.-..--....-..- (cadeau)
-.-..--....-..-.----.... (cadeau's)
-.-..--....-..--.---. (cadeautje)
-.-..--....-..--.---.... (cadeautjes)
-.-..--...- (cadet)
-.-..--...-... (cadets)
-.-..--...--.-. (cadetten)
-.-..-......-.-..-. (caesuren)
-.-..-......-..-.-. (caesuur)
-.-..-..-...-.---. (cafeetje)
-.-..-..-...-.---.... (cafeetjes)
-.-..-..-. (cafâ)
-.-..-..-..----.... (cafâ's)
-.-..-..-.....---..--....-. (cafâhouder)
-.-..-..-.....---..--....-.... (cafâhouders)
-.-..-........-. (cahier)
-.-..-........-.... (cahiers)
-.-..-.-...--.--....-.-... (calangeerde)
-.-..-.-...--.--....-..-. (calangeeren)
-.-..-.-.....-..---...-.-.------.--. (caleidoscoop)
-.-..-.-.....-..---...-.-.---.--..-. (caleidoscopen)
-.-..-.-...-....--..-..-.-..-. (calligraaf)
-.-..-.-...-....--..-..-..-..-. (calligrafen)
-.-..-.-...-....--..-..-.--........ (calligraphie)
-.-..-.-..---.-.... (calorie)
-.-..-.-..---.-....-. (calorieãn)
-.-..-.-..---.-.....-..-.. (calorifàre)
-.-..-.-..---.-.....-..-..... (calorifàres)
-.-..-.-..--.-..-...-.-... (calqueerde)
-.-..-.-..--.-..-...-..-. (calqueeren)
.-.-.....-..-......--. (Calvinisme)
.-.-.....-..-......-.-. (Calvinisten)
-.-..-.-..-.-...... (caläche)
-.-..-.-..-.-......... (caläches)
-.-..---.. (camee)
-.-..---..-. (cameeãn)
-.-..---..-..- (camera)
-.-..---..-..-.----.... (camera's)
-.-..---.--..---.-...---.-.-.-. (campagnejaar)
-.-..---.--..---.-...---.-.-..-. (campagnejaren)
-.-..--..-...-...-... (canaille)
-.-..--..-.--. (canapâ)
-.-..--..-.--..----.... (canapâ's)
-.-..--..-.--.-....--.-..-.......-. (canapâ-kussen)
-.-..--..-.--.-....--.-..-.......-.... (canapâ-kussens)
-.-..--.-....-...-......-. (candelaber)
-.-..--.-....-...-......-.... (candelabers)
-.-..--.-....-...-.-- (candidaat)
-.-..--.-....-...-.---....--.----.-.-...... (candidaat-notaris)
-.-..--.-....-...-.---....--.----.-.-..........-. (candidaat-notarissen)
-.-..--.-....-...-.--...-....-.-..-.---.-. (candidaats-examen)
-.-..--.-....-...-.--...-....-.-..-.---.-.... (candidaats-examens)
-.-..--.-....-...-.--...-....-.-..-.---..-..- (candidaats-examina)
-.-..--.-....-...--.-. (candidaten)
-.-..--.-....-...--..-.-..-. (candidaturen)
-.-..--.-....-...--..-..-.-. (candidatuur)
-.-..--.----. (canon)
-.-..--.----....-.- (canoniek)
-.-..--.----....-.-. (canonieke)
-.-..--.----.... (canons)
-.-..--.-.--. (cantate)
-.-..--.-.--.-. (cantaten)
-.-..--.-.--.... (cantates)
-.-..--.-..-.. (cantine)
-.-..--.-..-..... (cantines)
-.-..----..---.-.....---..--.-. (caoutchouc)
-.-..-.--..--.-...-...-.-.-....-...-..-.......-.. (capaciteiten-stelsel)
-.-..-.--....-...-...-...-. (capillair)
-.-..-.--...-------.-.. (capitool)
-.-..-.--...-..-.-...--... (capitulatie)
-.-..-.--...-..-.-...--...... (capitulaties)
-.-..-.--...-..-.-...--..-. (capitulatiãn)
-.-..-.--...-..-.-.....-.-... (capituleerde)
-.-..-.--...-..-.-.....-..-. (capituleeren)
-.-..-.--..-...-.-.. (caprice)
-.-..-.--..-...-.-..... (caprices)
-.-..-.--..-...-.-......-... (capricieus)
-.-..-.--..-...-.-......-...- (capricieust)
-.-..-.--..-...-.-......---....-. (capricieuzer)
-.-..-.-..---....---.-... (carambole)
-.-..-.-..---....---.-...... (caramboles)
-.-..-.-.....---.-..--..-.-... (carbolgaas)
-.-..-.-.-....-..-.-... (cardinale)
-.-..-.-.--..- (carga)
-.-..-.-.--..--..------.-. (cargadoor)
-.-..-.-.--..--..------.-.... (cargadoors)
-.-..-.-...-.-..--..-.-..-. (caricaturen)
-.-..-.-...-.-..--..-..-.-. (caricatuur)
-.-..-.-...-.-..--..-..-.-.-.---. (caricatuurtje)
-.-..-.-...-.-..--..-..-.-.-.---.... (caricatuurtjes)
-.-..-.-....-...-..----. (carillon)
-.-..-.-....-...-..----.... (carillons)
-.-..-.-..-..----.... (carrâ's)
-.-..-.-.-----.... (cartons)
-.-..-.....-.---.----.... (casino's)
-.-..-.......- (cassa)
-.-..-.......--... (cassatie)
-.-..--.--.-.-----..... (catacombe)
-.-..--.--.-.-----.....-. (catacomben)
-.-..--.--.-.-----........ (catacombes)
-.-..--.-.-..-----.........-.-... (catalogiseerde)
-.-..--.-.-..-----.........-..-. (catalogiseeren)
-.-..--.-.-..-----...-... (catalogus)
-.-..--.-.-..-----...-.......-. (catalogussen)
-.-..--.-.-..-......-.-.-.. (catarrhaal)
-.-..--.-.-..-......-.-... (catarrhale)
